SAMPLE ID2;Sample No;Location Name;Municipality;County;General Peatland Type;Specific Peatland Type;Generell myrtype;Naturtype;Detaljert Naturtype;NiN kode;Condition;Condition_notes;Notes_misc;ETRS89_UTM32_E;ETRS89_UTM32_N;Depth (cm);Depth_grouped (cm);BD (t/m3);moisture content (%);% SOM;% Ash content;SOM to SOC (conversion 0.5);C density (kg/m3);% Carbon;% Nitrogen;C:N ratio;Data collection date;Data contributors;Lab analysis
0029;1;Myr NV for Vestersetermyran;Namsos;Trøndelag;fen;poor fen;jordvannsmyr;fattigmyr ;Svært og temmelig kalkfattig myrflate;V1-C-1;intact;;;624486.39;7130226.87;20-50;0-50;0.045;88.21;97.72;2.28;48.86;21.987;46.74;1.72;27;23.09.2020;NINA GRAN;NINA GRAN
0029;2;Myr NV for Vestersetermyran;Namsos;Trøndelag;fen;poor fen;jordvannsmyr;fattigmyr ;Svært og temmelig kalkfattig myrflate;V1-C-1;intact;;;624486.39;7130226.87;100-130;100-150;0.055;90.73;98.84;1.16;49.42;27.181;47.76;1.88;25;23.09.2020;NINA GRAN;NINA GRAN
0030;1;Bakkemyr SV for Vestersetermyran;Namsos;Trøndelag;fen;intermediate fen;jordvannsmyr;intermediær myr;intermediær;V1-C-2;intact;;;624519.51;7130045.72;20-50;0-50;0.102;91.73;99.5;0.5;49.75;50.745;41.97;2.53;17;23.09.2020;NINA GRAN;NINA GRAN
0031;1;Skognbakkmyra;Namsos;Trøndelag;bog;bog;nedbørsmyr;nedbørsmyr;ombrotrof lav tue;V3-C-1;intact;;;627779.3;7131273.7;20-50;0-50;0.061;90.33;99.01;0.99;49.51;30.2011;48;1.92;25;23.09.2020;NINA GRAN;NINA GRAN
0031;2;Skognbakkmyra;Namsos;Trøndelag;bog;bog;nedbørsmyr;nedbørsmyr;ombrotrof lav tue;V3-C-1;intact;;;627779.3;7131273.7;100-130;100-150;0.052;88.07;98.67;1.33;49.34;25.6568;46.53;1.35;34;23.09.2020;NINA GRAN;NINA GRAN
0031;3;Skognbakkmyra;Namsos;Trøndelag;bog;bog;nedbørsmyr;nedbørsmyr;ombrotrof lav tue;V3-C-1;intact;;;627779.3;7131273.7;200-230;200-250;0.045;87.36;96.84;3.16;48.42;21.789;49.47;1.17;42;23.09.2020;NINA GRAN;NINA GRAN
0032;1;N for Skognbakkmyra;Namsos;Trøndelag;fen;poor fen;jordvannsmyr;fattigmyr ;fattig fastmatte;V1-C-1;intact;;;627791.55;7131145.58;20-50;0-50;0.046;89.74;98.51;1.49;49.26;22.6596;49.06;2.01;24;23.09.2020;NINA GRAN;NINA GRAN
0032;2;N for Skognbakkmyra;Namsos;Trøndelag;fen;poor fen;jordvannsmyr;fattigmyr ;fattig fastmatte;V1-C-1;intact;;;627791.55;7131145.58;60-90;50-100;0.065;85.7;93.27;6.73;46.64;30.316;49.83;2;25;23.09.2020;NINA GRAN;NINA GRAN
0033;1;Myr ved Grasbekken;Namsos;Trøndelag;fen;intermediate fen;jordvannsmyr;intermediær myr ;intermediær lav tue;V1-C-2;intact;;;619101.57;7128976.67;20-50;0-50;0.063;90.92;97.87;2.13;48.94;30.8322;48.07;2.71;18;23.09.2020;NINA GRAN;NINA GRAN
0033;2;Myr ved Grasbekken;Namsos;Trøndelag;fen;intermediate fen;jordvannsmyr;intermediær myr ;intermediær lav tue;V1-C-2;intact;;;619101.57;7128976.67;100-130;100-150;0.056;84.65;93.41;6.59;46.7;26.152;49.09;1.85;27;23.09.2020;NINA GRAN;NINA GRAN
